team,wyId,wyscout_name,wyscout_fine,wyscout_coarse,sportradar_id,sportradar_name,sportradar_position,sportradar_coarse,match
U Cluj,1047336,A. Chintes,FB,DEF,sr:player:2639451,"Chintes, Alin Marian",defender,DEF,True
U Cluj,779379,Ş. Lefter,GK,GK,sr:player:2779009,"Lefter, Ștefan",goalkeeper,GK,True
U Cluj,778883,A. Gheorghiță,AM,MID,sr:player:2645359,"Gheorghita, Andrei",midfielder,MID,True
U Cluj,759616,O. El Sawy,AM,MID,sr:player:2446655,"El Sawy, Omar",midfielder,MID,True
U Cluj,630268,A. Coubis,CB,DEF,sr:player:2249161,"Coubis, Andrei",defender,DEF,True
U Cluj,619309,O. Mendy,AM,MID,sr:player:2121882,"Mendy, Oucasse",forward,FWD,False
U Cluj,577452,D. Codrea,DM,MID,sr:player:1560588,"Codrea, Dorin",midfielder,MID,True
U Cluj,560364,J. Lukić,ST,FWD,sr:player:1022329,"Lukic, Jovo",forward,FWD,True
U Cluj,83590,A. Chipciu,FB,DEF,sr:player:44435,"Chipciu, Alexandru",forward,FWD,False
U Cluj,83838,D. Nistor,AM,MID,sr:player:93842,"Nistor, Dan Nicolae",midfielder,MID,True
U Cluj,169037,O. Bic,DM,MID,sr:player:236844,"Bic, Ovidiu",midfielder,MID,True
U Cluj,220694,D. Mikanović,FB,DEF,sr:player:245249,"Mikanovic, Dino",defender,DEF,True
U Cluj,239290,E. Capradossi,CB,DEF,sr:player:284355,"Capradossi, Elio",defender,DEF,True
U Cluj,240507,E. Gertmonas,GK,GK,sr:player:285953,"Gertmonas, Edvinas",goalkeeper,GK,True
U Cluj,270356,I. Cristea,CB,DEF,sr:player:578526,"Cristea, Iulian Lucian",defender,DEF,True
U Cluj,338220,Miguel Silva,FB,DEF,sr:player:867634,"Silva, Miguel",defender,DEF,True
U Cluj,346908,A. Murgia,DM,MID,sr:player:559470,"Murgia, Alessandro",midfielder,MID,True
U Cluj,445824,A. Fábry,AM,MID,sr:player:926778,"Fabry, Andrej",midfielder,MID,True
U Cluj,462140,J. Cissé,CB,DEF,sr:player:1865742,"Cisse, Jonathan",defender,DEF,True
U Cluj,506853,M. Drammeh,DM,MID,sr:player:944414,"Drammeh, Mouhamadou",midfielder,MID,True
U Cluj,526387,I. Macalou,AM,MID,sr:player:2120884,"Macalou, Issouf",forward,FWD,False
U Cluj,532568,V. Postolachi,AM,MID,sr:player:1297462,"Postolachi, Virgiliu",forward,FWD,False
U Cluj,541971,J. Stanojev,AM,MID,sr:player:1240964,"Stanojev, Jug",forward,FWD,False
U Cluj,748513,A. Trică,ST,FWD,sr:player:2162060,"Trica-Balaci, Atanas Ioan",forward,FWD,True
U Cluj,227952,A. Artean,DM,MID,sr:player:301512,"Artean, Andrei",midfielder,MID,True
U Cluj,441683,G. Simion,DM,MID,sr:player:1008455,"Simion, Gabriel",defender,DEF,False
U Cluj,278515,M. Thiam,ST,FWD,,,,,False
CFR Cluj,830137,V. Kun,FB,DEF,sr:player:2358317,"Kun, Viktor",midfielder,MID,False
CFR Cluj,635248,L. Biliboc,AM,MID,sr:player:2870455,"Biliboc, Lorenzo",forward,FWD,False
CFR Cluj,624454,A. Fică,AM,MID,sr:player:1865454,"Fica, Alin Razvan",midfielder,MID,True
CFR Cluj,574712,Marian Huja,CB,DEF,sr:player:1553763,"Huja, Marian",defender,DEF,True
CFR Cluj,530655,A. Cordea,AM,MID,sr:player:1600936,"Cordea, Andrei",midfielder,MID,True
CFR Cluj,83617,C. Deac,W,FWD,sr:player:36883,"Deac, Ciprian",midfielder,MID,False
CFR Cluj,83892,Mario Camora,FB,DEF,sr:player:78908,"Camora, Mario",defender,DEF,True
CFR Cluj,21354,D. Djoković,DM,MID,sr:player:108740,"Djokovic, Damjan",midfielder,MID,True
CFR Cluj,19445,C. Braun,FB,DEF,sr:player:163733,"Braun, Christopher",defender,DEF,True
CFR Cluj,137155,A. Păun,AM,MID,sr:player:190309,"Paun, Alexandru",midfielder,MID,True
CFR Cluj,173293,L. Zahovič,ST,FWD,sr:player:232162,"Zahovic, Luka",forward,FWD,True
CFR Cluj,295757,T. Keita,DM,MID,sr:player:1507497,"Keita, Tidiane",midfielder,MID,True
CFR Cluj,331420,M. Popa,GK,GK,sr:player:1613214,"Popa, Mihai",goalkeeper,GK,True
CFR Cluj,361179,A. Aliev,ST,FWD,,,,,False
CFR Cluj,376565,A. Abeid,FB,DEF,sr:player:1435339,"Abeid, Aly",defender,DEF,True
CFR Cluj,412678,M. Korenica,AM,MID,sr:player:915730,"Korenica, Meriton",midfielder,MID,True
CFR Cluj,431961,S. Sinyan,CB,DEF,sr:player:837439,"Sinyan, Sheriff",defender,DEF,True
